word,length,fre,pmi,entropy
アメリカ,4,0.00035184552429638657,5.205410469189096,3.405546703418629
について,4,0.0004971546221413256,3.597809003564037,3.400809491920874
自然,2,0.00019525028292951042,6.041162119419504,3.399782620978551
メディア,4,9.395714482012568e-05,5.001440367572279,3.3980353208633245
地域,2,0.00033604492336567474,5.596230722550109,3.397619721302965
高橋,2,4.345165255945752e-05,5.829188640006384,3.394137561447638
自動車,3,0.00010439682757791742,6.4510030762588055,3.393035903718044
いわゆる,4,7.674577594917172e-05,3.652608270814719,3.3925074905665533
が起こり,4,1.3543372226324422e-05,3.5731618555933906,3.387300884544406
できない,4,0.00016675277053661945,3.7442772622381053,3.3800042112972353
金属,2,2.7651051628745695e-05,5.478018222604652,3.3784844973041013
陸軍,2,3.131904827337522e-05,5.504964048848058,3.3774793316218115
全国,2,0.0001407946404361643,3.9815077122273452,3.3671139333755242
ラジオ,3,7.223131854039692e-05,4.6073869561155405,3.3664490964198137
劇画,2,4.711964920408705e-05,4.782166020662361,3.3658092541078477
を描く,3,5.812363913797564e-05,3.6192975947683506,3.3648299612626666
を使う,3,7.646362236112329e-05,3.5388474641237293,3.3643897405693317
画面,2,8.182454053404338e-05,4.01926990028991,3.3636228573833162
技術,2,0.00023334101731604785,6.875417460258508,3.362969088728839
競技,2,9.19820697037867e-05,7.025422858170233,3.361380255026989
販売,2,0.0001763459925302659,7.074084107231151,3.360389587757209
サービス,4,9.169991611573827e-05,4.806548621108852,3.35559880340151
政治,2,0.00016900999924100685,6.033474143280162,3.3552462209725076
ビット,3,9.395714482012568e-05,3.9910771690978692,3.3552253995104264
再生,2,5.897009990212092e-05,4.422239940090099,3.344721048982549
大陸,2,0.0001086291313986438,4.732905172683488,3.343456555646062
関西,2,3.4422737741907904e-05,4.148391527228466,3.343283232707427
システム,4,0.0003724427362239216,5.666999126946704,3.3398156593180284
戦争,2,0.00020089335469047892,6.274908433610139,3.3395432435279906
学習,2,2.652243727655199e-05,4.504775835933842,3.339236946699143
印刷,2,3.2729816213617356e-05,8.924419914610338,3.336972657793899
製造,2,8.041377259380125e-05,5.853554686528009,3.334045925108054
情報,2,0.00021471888050485178,7.37723130121112,3.3340040958229005
交通,2,6.912762907186424e-05,5.246526759065416,3.3337514089729234
医学,2,5.6430717609685094e-05,4.911166786866876,3.333502977779032
ほど,2,0.00016900999924100685,4.132745797361404,3.332347083959578
製作,2,0.0001185045069803387,4.374214288006071,3.3300951566855446
すべき,3,4.4580266911651225e-05,4.103121913790297,3.3300832254726638
軍事,2,5.727717837383037e-05,4.728053895161426,3.3273578707683815
公園,2,2.482951574826144e-05,5.665962864658014,3.327111992494348
開発,2,0.0004480598978208996,4.987232711116075,3.326501300693069
センター,4,4.965903149652288e-05,4.031687729168413,3.3249509951035368
四国,2,4.147657744311854e-05,4.564427203352083,3.3248106116148444
レコード,4,5.501994966944296e-05,4.355435150402499,3.324137261394852
を問わず,4,1.2979065050227572e-05,3.790744360142684,3.32370213419676
家族,2,4.260519179531225e-05,4.9281313155644435,3.3185968541082347
ドイツ,3,0.00016252046671589307,5.565423486024805,3.313527146249327
農業,2,4.514457408774807e-05,5.521298763235287,3.3119995027641025
宗教,2,7.138485777625165e-05,6.886524919937183,3.3105030451216826
実験,2,8.605684435476977e-05,5.5269688443372,3.3088185918103883
マンガ,3,6.292025013479887e-05,5.226739323259168,3.3067299656448017
美術,2,0.0001385374117317769,6.616484052556443,3.3022754334509763
近代,2,9.64965271125615e-05,4.303569244600314,3.3002249202031457
年月日,3,0.0006946621337752235,4.672470452580842,3.29807023895499
記録,2,0.00020343273698291474,6.034167709398012,3.296694129626866
植物,2,6.489532525113785e-05,5.798151624450151,3.295987061973589
営業,2,2.2290133455825613e-05,4.65554838862913,3.2956791621007824
制御,2,8.803191947110875e-05,6.665366348075962,3.293542894392327
最高,2,8.408176923843079e-05,4.169140726685866,3.2934126062706435
外部,2,4.796610996823233e-05,3.604767304416646,3.2927667916599144
すなわち,4,7.674577594917172e-05,4.93492971502818,3.29140836976486
ドラマ,3,8.944268741135087e-05,4.654537242912498,3.289152723053413
生産,2,0.00012894418973813043,5.047004399251656,3.287649015993796
警察,2,3.357627697776263e-05,8.468615125700955,3.2874345743866247
イベント,4,4.4298113323602796e-05,4.99533855537156,3.2846952844103763
第一,2,0.0001241475787413072,3.9767864282638827,3.282486329756709
に伴い,3,5.6148564021636665e-05,3.530462904131818,3.280951506892
言語,2,0.0006777329184923179,5.228835563032656,3.28058110569706
ページ,3,0.00010270390604962687,5.303120467936162,3.2800833549906088
に沿って,4,1.0721836345840167e-05,3.6069639766812434,3.2798922911303316
球団,2,4.514457408774807e-05,5.938133958549026,3.2792712203861454
に応じて,4,3.2729816213617356e-05,3.6074061610793393,3.2758492018277554
佐藤,2,2.1443672691680335e-05,6.349019172384593,3.275593834445558
ロシア,3,0.0001086291313986438,4.8478928341653935,3.2734306823050314
携帯電話,4,6.179163578260517e-05,7.531205110645873,3.2723250028461366
一郎,2,3.160120186142365e-05,3.979630135747326,3.270080843762781
地球,2,0.00013148357203056625,5.104413663078167,3.2692743449339448
解析,2,6.884547548381581e-05,6.876868718641651,3.2665719634736696
行政,2,5.501994966944296e-05,3.5775583334213676,3.2658550858224404
防衛,2,3.0190433921181525e-05,7.670269313222123,3.263441093091456
タイトル,4,9.818944864085205e-05,5.007470952491047,3.260610166112921
連続,2,7.618146877307488e-05,4.711355518882071,3.258911692739512
カメラ,3,7.7592236713317e-05,5.086593945949003,3.2586866619785257
学園,2,1.918644398729293e-05,3.9370680795839768,3.258472646143568
相撲,2,3.526919850605318e-05,7.512207761059144,3.2555160753692247
方言,2,0.0001018574452854816,3.6539796748301767,3.254596165105933
生活,2,0.00014220540837640643,4.8365588790513785,3.2542354268116327
新潟県,3,2.849751239289097e-05,6.4205482279338115,3.25403932712995
であろう,4,2.8215358804842547e-05,4.024922672313867,3.2535778684573793
計画,2,0.00010975774575083751,4.477446987379205,3.252015667227437
自転車,3,5.050549226066816e-05,6.488142623208262,3.2518953753690094
ディスク,4,0.00010355036681377214,4.958294937936401,3.251383570071805
松本,2,4.006580950287642e-05,4.098422629731485,3.2500545555324987
野球,2,0.00010919343857474065,5.981824474539152,3.248177396610705
契約,2,7.787439030136543e-05,7.504603658921454,3.2480141975120014
商品,2,6.630609319137999e-05,5.356797029589935,3.247050204363671
オランダ,4,3.978365591482799e-05,5.951006506890625,3.245239985513664
小林,2,2.5111669336309865e-05,5.929115240841791,3.243763863809649
ビジネス,4,3.809073438653744e-05,4.812683609676367,3.24321029044387
書き,2,0.00013938387249592217,3.7812734553918963,3.2419679680409783
地震,2,0.0001763459925302659,5.776142966958163,3.2418652517761704
絵画,2,5.276272096505556e-05,4.777184849369279,3.239796881757371
デザイン,4,0.00013345864714690525,4.253776821637707,3.238987534563789
アジア,3,7.646362236112329e-05,4.637431257103422,3.2380357584512542
台湾,2,4.063011667897327e-05,7.34291637828941,3.2379638347350252
エジプト,4,9.226422329183512e-05,4.99533855537156,3.2349180312328585
作家,2,0.00014474479066884226,3.5662092863488364,3.233407481897812
企画,2,8.351746206233393e-05,5.2351849049371,3.2332126614349708
交換,2,4.034796309092484e-05,5.664065978774923,3.2305803832489763
チーム,3,8.43639228264792e-05,3.873382394500502,3.22909410749441
石油,2,2.7086744452648843e-05,6.90661621556793,3.226886659110751
を除けば,4,9.593221993646465e-06,4.005154231488139,3.2255573283925223
加藤,2,1.9750751163389782e-05,4.739560851995471,3.2236280618962976
データ,3,0.00030218649279986366,4.987818169760009,3.2214126980403677
同人誌,3,2.99082803331331e-05,6.405643773194454,3.2213478604231076
道路,2,6.348455731089573e-05,5.820735194956591,3.2212483141846446
パソコン,4,0.00013486941508714738,4.424402338668471,3.219203697032586
入力,2,6.517747883918628e-05,3.9769743609403174,3.2189504875816444
観測,2,9.931806299304576e-05,7.218990900610083,3.215564661712423
外交,2,2.9626126745084674e-05,4.641093202714971,3.21541267488812
妖怪,2,2.7651051628745695e-05,8.97839265810644,3.2145140435840136
監督,2,9.508575917231938e-05,8.97063076452011,3.2145136618839594
アフリカ,4,3.865504156263429e-05,5.199740274305557,3.214066659615008
男性,2,6.828116830771896e-05,5.60052373632614,3.2132204236092656
工学,2,4.063011667897327e-05,3.7196165025394974,3.212827595150525
より,2,0.001267433917513527,3.528766193538894,3.210246183775318
遺跡,2,5.925225349016935e-05,7.871805153193539,3.2095704878623654
ちゃん,3,5.501994966944296e-05,6.150383185907475,3.2089886652397177
戦闘,2,5.755933196187879e-05,6.059129596616036,3.207466135815042
試験,2,4.6837495616038626e-05,6.963084958862756,3.20621428380484
サッカー,4,2.2572287043874035e-05,4.0192652091698555,3.2057158539387993
接続,2,0.00011596512468790286,6.136603056817699,3.204988546238434
輸送,2,2.7651051628745695e-05,6.148488570873866,3.202476387698155
機器,2,0.00011229712804327333,5.316219194492816,3.201159360599347
海軍,2,2.0315058339486634e-05,4.499300583249056,3.200454519145209
学科,2,3.583350568215003e-05,3.535690349009013,3.198344209295247
経営,2,5.897009990212092e-05,6.187794067147251,3.197925074076086
万人,2,0.00010834697781059537,4.533441869106058,3.197582413006363
カード,3,0.00012160819644887138,3.709325494709534,3.197120117910625
平均,2,7.166701136430006e-05,7.017924979891098,3.196655370343731
学者,2,0.0001506700160178592,3.530150216792514,3.195064832076076
西日本,3,2.426520857216459e-05,3.5537146246317537,3.1948774097706543
調査,2,8.916053382330245e-05,7.451675013194757,3.194138785931779
空港,2,4.9094724320426027e-05,6.858703653159362,3.1937551191307127
フランス,4,0.00019130013269683246,4.494498082931172,3.1930283382073177
アイドル,4,2.8779665980939396e-05,5.0469126845423435,3.192006288908212
制作,2,0.00018876075040439664,4.3140754400529655,3.1879828251751707
読み,2,0.00011906881415643554,5.563419321654171,3.1862695334929145
福島県,3,2.285444063192246e-05,6.3218918163279545,3.1853139625251776
施設,2,4.796610996823233e-05,5.961351568811677,3.185156455578185
女性,2,0.00011652943186399972,5.308444703980962,3.182134327468007
モデル,3,0.00016788138488881314,4.923728760443246,3.1817615975634816
理論,2,0.0001853749073478155,5.155924814424056,3.1808229275857984
漫画,2,0.0008980948707581382,6.209221904281491,3.180297497433998
国民,2,0.00010157529169743316,4.059229804478825,3.177598548365278
環境,2,0.00017437091741392694,7.890182140266841,3.1772749380178262
欧州,2,4.034796309092484e-05,7.278456304877824,3.1757885045361345
写真,2,9.508575917231938e-05,7.359926130736181,3.1742160509620607
商業,2,4.965903149652288e-05,5.2378430412866885,3.1731072304486676
富士通,3,2.906181956898782e-05,6.1536818576933925,3.173019185657818
ブロック,4,4.6273188439941774e-05,5.3015430990965955,3.1726597141765187
次郎,2,1.55184473426634e-05,4.756067009257471,3.1704351944523035
地区,2,5.050549226066816e-05,4.022746756298894,3.1691040435215028
工場,2,3.9501502326779565e-05,4.179438098040573,3.1678805336296727
攻撃,2,5.304487455310398e-05,8.184921633687022,3.1676345417334737
経済学,3,4.599103485189335e-05,4.359325451471576,3.166766904229754
ック,2,0.0012812594433279,4.067360221786971,3.166518766505385
玩具,2,4.091227026702169e-05,8.64080311172472,3.163061095904167
ロボット,4,2.793320521679412e-05,4.965485592221879,3.1550774791070357
さらに,3,0.0002604277617686967,3.5578259604287634,3.1537902147247636
精神,2,4.6837495616038626e-05,6.9677665816341445,3.152657828943926
ット,2,0.0012118496606679874,3.6477947036490894,3.152035949147453
文字,2,0.0002226191809702077,5.83095855727354,3.151726740279163
ステージ,4,3.9501502326779565e-05,4.468775756812738,3.1515955502736217
銀行,2,4.345165255945752e-05,5.1421824267998675,3.1506959631033395
単行本,3,7.53350080089296e-05,5.785247764867347,3.150456994582223
価格,2,8.605684435476977e-05,6.0875702029107375,3.149946152596398
機械,2,0.00010721836345840167,6.580520981313004,3.1499060727096997
次元,2,3.526919850605318e-05,4.7245994749637825,3.1464811726585076
移動,2,8.577469076672134e-05,5.004709447552358,3.145261285913728
南部,2,7.279562571649377e-05,4.7592400528565815,3.145222971783043
内部,2,7.335993289259062e-05,3.651603878370401,3.1442831704897505
犯罪,2,1.805782963509923e-05,9.602130387294217,3.1441742634912386
アウト,3,2.172582627972876e-05,4.390384086847075,3.142949622393022
ナイト,3,3.865504156263429e-05,4.060247558997258,3.1417229836273783
モバイル,4,1.6364908106808678e-05,5.0469126845423435,3.141498917406434
イギリス,4,9.931806299304576e-05,4.812683609676367,3.1408115032734143
長野県,3,1.862213681119608e-05,6.438417835282552,3.13869910313396
設計,2,0.0001385374117317769,5.729674688569248,3.1382874955786635
食品,2,1.5236293754614974e-05,3.8944649534925575,3.1369195201276816
機関,2,0.00011794019980424184,4.330176601062549,3.135442601152368
自己,2,3.865504156263429e-05,6.320527213804002,3.1346710150457424
マシン,3,6.828116830771896e-05,4.285718951134521,3.1339774341222135
万円,2,4.345165255945752e-05,5.9542056587551375,3.1336685503211648
人口,2,0.0001661884633605226,5.118609522135087,3.1334125542572715
ホーム,3,3.611565927019846e-05,4.329930151231371,3.132817905208571
伊藤,2,1.66470616948571e-05,6.534882101400295,3.1317616893326674
サーバ,3,6.574178601528313e-05,4.439170275556862,3.1305332059522315
構造,2,0.0002694566765862463,6.644722572262987,3.130062778744903
衛星,2,3.414058415385948e-05,6.49475824889974,3.129761426644775
分析,2,4.824826355628075e-05,5.4333801825841235,3.1288298165816806
ワールド,4,4.4298113323602796e-05,5.43507655507947,3.1288059405235007
億円,2,6.940978265991267e-05,7.356241896646325,3.12803136059856
連載,2,0.00037300704340001846,6.191599601619751,3.1264075952759787
短編,2,4.514457408774807e-05,6.595762117716583,3.1249091432356053
自由,2,0.0001594167772473604,5.503779797615224,3.123864530753404
端末,2,4.6273188439941774e-05,6.743893522544252,3.1237414989996015
声優,2,7.87208510655107e-05,6.946567459556442,3.122438128488344
出身,2,0.0001628026203039415,5.135833896609846,3.1219923400924086
記念,2,4.486242049969965e-05,5.092384571599379,3.121519779530463
スタジオ,4,4.401595973555437e-05,4.812683609676368,3.1203522415751848
ならびに,4,6.771686113162211e-06,3.5151564274281206,3.120291565301284
フィルム,4,6.179163578260517e-05,5.566513403016281,3.1198293792224017
向け,2,0.00019553243651755883,4.623158854906458,3.1193972005732626
ボックス,4,1.9750751163389782e-05,4.730445511439395,3.1171320626196684
近江,2,1.66470616948571e-05,4.935058740678525,3.1159605421055945
山田,2,2.482951574826144e-05,3.946275020539041,3.1156659374143296
協会,2,5.3609181729200835e-05,5.453756550865691,3.114696214086203
香港,2,1.3261218638275996e-05,7.262906212599477,3.1146107401436285
事務所,3,3.0472587509229948e-05,6.585323403842322,3.1127126798606217
日本語,3,0.00019158228628488088,4.028203984597487,3.1126991708008993
女子,2,3.4704891329956334e-05,4.085595371107305,3.1118065754147675
グループ,4,9.254637687988355e-05,5.650237745616031,3.1111074769264553
兵庫県,3,1.9750751163389782e-05,6.6203184280627125,3.110804524000832
教授,2,3.357627697776263e-05,6.672254925386963,3.110175099231792
岩手県,3,1.3543372226324422e-05,6.425345753715199,3.1083214705622564
第号,2,1.7775676047050804e-05,3.828839931398866,3.1073861786386208
専用,2,8.549253717867291e-05,4.935086676259078,3.107236930026064
帝国,2,8.774976588306032e-05,5.51576407273534,3.106529788561415
辞書,2,2.3136594219970887e-05,5.488701907973345,3.104388540591577
恋愛,2,1.9468597575341356e-05,7.878552438149591,3.1039830697432373
空間,2,0.00012358327156521034,5.333512539548682,3.103636854232361
学校,2,0.00024095916419335534,5.308000042815548,3.102357865882269
シェル,3,1.9750751163389782e-05,3.536506152714422,3.1019263290073513
県出身,3,2.0315058339486634e-05,4.721463837364623,3.101790312140081
議会,2,7.702792953722015e-05,5.130225582808832,3.1017020578855017
市町村,3,2.6804590864600417e-05,6.409107162266702,3.1012543655545204
西部,2,5.671287119773352e-05,4.286148182040809,3.1010960284489886
仏教,2,2.482951574826144e-05,6.779941376259343,3.099650699723465
セット,3,9.734298787670678e-05,4.1639003378024135,3.0992665463775766
国内,2,0.00014333402272860012,3.86264902392763,3.0979226794667203
タレント,4,1.805782963509923e-05,4.979834368835594,3.0967459301443183
文庫,2,3.10368946853268e-05,5.652432071448136,3.0961523374076934
吉田,2,1.495414016656655e-05,5.56796828280402,3.094890222358598
企業,2,0.00013261218638275997,6.280716362769076,3.094732651747568
料理,2,2.2572287043874035e-05,4.183718532296939,3.093890280061398
将軍,2,3.865504156263429e-05,6.1291103806085285,3.09280576602207
作品,2,0.0009034557889310583,5.348003094979167,3.092793190828863
デビュー,4,0.00020117550827852734,4.031687729168413,3.09073737152288
東宝,2,2.624028368850357e-05,5.656582484150235,3.0898032032112854
遺伝子,3,4.8812570732377604e-05,6.161722250808969,3.0897662271296134
俳優,2,2.539382292435829e-05,7.824846424626454,3.0895995314222837
優勝,2,4.3733806147505944e-05,6.361927100343688,3.089019674945798
西洋,2,5.248056737700714e-05,6.329722671259613,3.087622067748319
マーク,3,5.6430717609685094e-05,3.9029216438899206,3.0872437439924805
電源,2,3.10368946853268e-05,5.256888561725463,3.0871052475547813
